Dependency Pair	Co-Occurences
babel-loader@css-loader	72
lodash@prop-types	72
fortawesome/fontawesome-free@redux	72
babel-loader@webpack-dev-server	72
core-js@moment	71
fortawesome/fontawesome-free@history	71
highlight.js@marked	70
hammerjs@zone.js	70
fs-extra@moment	70
babel-loader@style-loader	70
material-ui/core@redux	70
redux-logger@redux-thunk	70
bootstrap@core-js	69
express@lodash	69
reflect-metadata@rxjs	68
axios@request	68
axios@styled-components	68
html-webpack-plugin@sass-loader	68
ant-design/icons@antd	68
emotion/styled@axios	67
reduxjs/toolkit@redux	67
express@jquery	67
moment@source-map-support	67
express@moment	66
hammerjs@rxjs	66
font-awesome@jquery	66
fortawesome/fontawesome-free@redux-thunk	66
font-awesome@lodash	65
redux-thunk@styled-components	65
bootstrap@rxjs	64
html-webpack-plugin@resolve	64
antd@axios	64
regenerator-runtime@source-map-support	64
css-loader@file-loader	63
redux@reselect	63
axios@classnames	63
lodash@styled-components	63
express@request	63
file-loader@style-loader	62
classnames@history	62
html-webpack-plugin@mini-css-extract-plugin	62
history@jquery	62
classnames@source-map-support	61
core-js@uuid	61
fortawesome/free-regular-svg-icons@fortawesome/free-solid-svg-icons	61
dotenv@express	60
bootstrap@lodash	60
axios@pinia	60
axios@prop-types	60
bootstrap@font-awesome	60
fs-extra@jquery	60
lodash@semver	60
file-loader@webpack	60
moment@prop-types	59
material-ui/core@material-ui/lab	59
fortawesome/fontawesome-svg-core@fortawesome/free-regular-svg-icons	59
babel-core@babel-loader	59
lodash@rxjs	59
classnames@moment	59
redux@redux-persist	59
axios@cheerio	59
socket.io@socket.io-client	58
dotenv@fs-extra	58
fortawesome/fontawesome-svg-core@fortawesome/free-brands-svg-icons	58
classnames@uuid	58
fs-extra@webpack	57
fortawesome/fontawesome-free@devtron	57
fortawesome/free-brands-svg-icons@fortawesome/free-solid-svg-icons	57
css-loader@webpack-dev-server	57
css-loader@html-webpack-plugin	56
chalk@fs-extra	56
sequelize@sqlite3	56
history@reselect	56
body-parser@cors	56
core-js@fs-extra	56
core-js@element-ui	56
file-loader@url-loader	56
node-sass@sass-loader	55
babel-loader@html-webpack-plugin	55
style-loader@webpack-dev-server	55
bootstrap@zone.js	55
babel-loader@file-loader	55
moment@request	55
typescript@web-vitals	54
redux-thunk@uuid	54
cross-env@web-vitals	54
html-webpack-plugin@postcss-preset-env	54
material-ui/core@redux-thunk	54
fs-extra@redux	53
fs-extra@request	53
antd@redux	53
core-js@jquery	53
file-loader@html-webpack-plugin	53
cheerio@request	53
css-loader@url-loader	53
emotion/styled@framer-motion	53
quasar/extras@quasar	53
express@uuid	52
moment@styled-components	52
css-loader@sass-loader	52
styled-components@uuid	52
prop-types@styled-components	52
html-webpack-plugin@terser-webpack-plugin	52
html-webpack-plugin@typescript	52
style-loader@url-loader	51
redux@redux-saga	51
babel/core@babel-loader	51
moment@sqlite3	51
file-loader@webpack-dev-server	51
sass-loader@webpack	51
axios@socket.io-client	51
fortawesome/fontawesome-svg-core@axios	51
sass-loader@style-loader	50
material-ui@redux	50
babel-core@webpack	50
jquery@rxjs	50
babel-loader@url-loader	50
postcss@tailwindcss	50
fortawesome/fontawesome-free@jquery	49
axios@date-fns	49
reduxjs/toolkit@axios	49
fortawesome/free-solid-svg-icons@axios	49
axios@nedb	48
dayjs@lodash	48
html-webpack-plugin@workbox-webpack-plugin	48
axios@qs	48
history@redux-logger	48
material-ui/icons@redux	48
wait-on@web-vitals	48
html-webpack-plugin@semver	48
fortawesome/fontawesome-free@core-js	48
immutable@redux	48
babel/core@webpack	48
css-loader@postcss-loader	48
mui/material@axios	47
autoprefixer@postcss	47
axios@cors	47
url-loader@webpack	47
core-js@express	47
express@node-fetch	47
dotenv@webpack	47
source-map-support@styled-components	47
fs@path	47
reflect-metadata@zone.js	46
html-webpack-plugin@optimize-css-assets-webpack-plugin	46
core-js@redux	46
jquery@redux	46
semver@uuid	46
material-ui/core@history	46
html-webpack-plugin@identity-obj-proxy	46
axios@body-parser	46
types/jest@web-vitals	46
postcss-loader@style-loader	46
babel-loader@sass-loader	46
material-ui/icons@material-ui/lab	46
emotion/styled@uuid	45
prop-types@source-map-support	45
autoprefixer@tailwindcss	45
concurrently@web-vitals	45
material-ui/core@axios	45
css-loader@dotenv	45
dotenv@style-loader	45
types/node@web-vitals	45
axios@crypto-js	45
source-map-support@uuid	45
core-js@source-map-support	45
devtron@font-awesome	45
fs-extra@html-webpack-plugin	45
html-webpack-plugin@postcss-normalize	44
babel-loader@fs-extra	44
postcss-loader@webpack	44
bootstrap@redux	44
express@fs-extra	44
ejs@express	44
dotenv@file-loader	44
axios@semver	44
html-webpack-plugin@jest-resolve	44
express@morgan	44
axios@typescript	44
core-js@tslib	44
file-loader@postcss-loader	43
moment@rxjs	43
dotenv@html-webpack-plugin	43
bootstrap@uuid	43
fortawesome/fontawesome-free@bootstrap	43
fs-extra@webpack-dev-server	43
axios@web-vitals	43
url-loader@webpack-dev-server	43
babel-loader@dotenv	43
concurrently@cross-env	42
cookie-parser@express	42
babel-loader@postcss-loader	42
history@node-fetch	42
request@request-promise	42
axios@font-awesome	42
postcss-loader@webpack-dev-server	42
bluebird@lodash	42
css-loader@fs-extra	42
chart.js@moment	42
html-webpack-plugin@jest-watch-typeahead	42
babel-core@babel-preset-es2015	42
core-js@reflect-metadata	42
fs-extra@node-fetch	41
emotion/styled@web-vitals	41
material-ui/icons@redux-thunk	41
core-js@register-service-worker	41
font-awesome@rxjs	41
typescript@webpack	41
material-ui/core@source-map-support	41
antd@history	41
axios@node-sass	41
fs-extra@style-loader	41
dotenv@redux	41
material-ui/core@lodash	41
axios@sqlite3	40
jquery@zone.js	40
express@redux	40
history@redux-saga	40
eslint@webpack	40
fs-extra@postcss-loader	40
file-loader@fs-extra	40
postcss-flexbugs-fixes@postcss-loader	40
antd@lodash	40
core-js@font-awesome	40
redux-thunk@reselect	40
bootstrap@request	40
html-webpack-plugin@postcss-safe-parser	40
dotenv@webpack-dev-server	40
handlebars@jquery	40
babel-loader@eslint	40
eslint@eslint-plugin-import	40
reduxjs/toolkit@styled-components	40
css-loader@jest	39
core-js@dayjs	39
lodash@node-fetch	39
jest@style-loader	39
dotenv@jest	39
fs-extra@jest	39
redux@redux-actions	39
jest@webpack	39
case-sensitive-paths-webpack-plugin@css-loader	39
case-sensitive-paths-webpack-plugin@postcss-loader	39
types/lodash@lodash	39
dotenv@postcss-loader	39
lodash@winston	39
case-sensitive-paths-webpack-plugin@webpack-dev-server	39
classnames@fs-extra	39
highlight.js@markdown-it	39
babel-jest@jest	39
rxjs@uuid	39
dotenv@dotenv-expand	39
popperjs/core@bootstrap	39
case-sensitive-paths-webpack-plugin@html-webpack-plugin	39
dotenv@uuid	38
hammerjs@tslib	38
prop-types@uuid	38
fs@jquery	38
postcss-flexbugs-fixes@webpack-dev-server	38
axios@normalize.css	38
file-loader@jest	38
jquery@uuid	38
html-webpack-plugin@pnp-webpack-plugin	38
babel/core@webpack-dev-server	38
mui/icons-material@axios	38
fs-extra@postcss-flexbugs-fixes	38
dotenv@moment	38
body-parser@moment	38
postcss-flexbugs-fixes@style-loader	38
html-webpack-plugin@redux	38
case-sensitive-paths-webpack-plugin@postcss-flexbugs-fixes	38
winston@winston-daily-rotate-file	38
case-sensitive-paths-webpack-plugin@style-loader	38
jquery@sqlite3	38
jquery@nedb	38
case-sensitive-paths-webpack-plugin@webpack	38
babel-eslint@babel-loader	38
jest@webpack-dev-server	38
css-loader@postcss-flexbugs-fixes	38
css-loader@eslint	38
webpack@webpack-manifest-plugin	38
xterm@xterm-addon-fit	38
highlight.js@lodash	38
case-sensitive-paths-webpack-plugin@fs-extra	38
html-webpack-plugin@resolve-url-loader	38
webpack-dev-server@webpack-manifest-plugin	37
babel-jest@file-loader	37
knex@sqlite3	37
eslint@style-loader	37
material-ui/core@styled-components	37
fs-extra@webpack-manifest-plugin	37
file-loader@postcss-flexbugs-fixes	37
eslint@webpack-dev-server	37
postcss-loader@url-loader	37
babel-loader@jest	37
fs-extra@url-loader	37
dotenv-expand@fs-extra	37
babel-jest@webpack-dev-server	37
postcss-flexbugs-fixes@webpack	37
axios@node-fetch	37
bootstrap@express	37
babel-jest@style-loader	37
dotenv@postcss-flexbugs-fixes	37
axios@lowdb	37
babel-jest@css-loader	37
redux-persist@redux-thunk	37
typescript@uuid	37
eslint@fs-extra	37
case-sensitive-paths-webpack-plugin@dotenv	37
babel/core@css-loader	37
node-pty@xterm	37
fortawesome/fontawesome-free@axios	37
case-sensitive-paths-webpack-plugin@file-loader	37
i18next@lodash	36
chokidar@fs-extra	36
babel-jest@html-webpack-plugin	36
material-ui/icons@axios	36
bootstrap@sqlite3	36
lodash@sqlite3	36
jest@postcss-flexbugs-fixes	36
immutable@redux-thunk	36
cheerio@lodash	36
case-sensitive-paths-webpack-plugin@webpack-manifest-plugin	36
jquery@redux-thunk	36
fs-extra@resolve	36
history@rxjs	36
babel-jest@babel-loader	36
eslint@html-webpack-plugin	36
lodash@mkdirp	36
chalk@lodash	36
history@redux-persist	36
babel-jest@webpack	36
eslint@file-loader	36
history@immutable	36
body-parser@lodash	36
css-loader@webpack-manifest-plugin	36
history@material-ui	36
history@redux-actions	36
babel-loader@case-sensitive-paths-webpack-plugin	36
file-loader@webpack-manifest-plugin	36
dotenv@eslint	36
babel-loader@babel-preset-es2015	36
jest@postcss-loader	36
node-sass@redux	36
babel/core@fs-extra	36
jest@webpack-manifest-plugin	36
axios@rxjs	36
postcss-loader@webpack-manifest-plugin	36
babel-loader@webpack-manifest-plugin	36
babel-jest@dotenv	36
babel-jest@fs-extra	36
style-loader@webpack-manifest-plugin	36
case-sensitive-paths-webpack-plugin@jest	36
dotenv@webpack-manifest-plugin	36
postcss-flexbugs-fixes@webpack-manifest-plugin	36
history@i18next	36
sass-loader@webpack-dev-server	36
babel/core@html-webpack-plugin	36
core-js@redux-thunk	35
css-loader@dotenv-expand	35
dotenv-expand@html-webpack-plugin	35
dotenv-expand@postcss-loader	35
dotenv-expand@style-loader	35
babel/core@style-loader	35
babel-jest@postcss-loader	35
babel-jest@postcss-flexbugs-fixes	35
dotenv-expand@webpack-dev-server	35
babel-loader@postcss-flexbugs-fixes	35
dotenv-expand@postcss-flexbugs-fixes	35
babel-jest@webpack-manifest-plugin	35
axios@nprogress	35
babel-eslint@eslint	35
eslint-plugin-import@eslint-plugin-jsx-a11y	35
dotenv@lodash	35
debug@lodash	35
dotenv@url-loader	35
core-js@history	35
case-sensitive-paths-webpack-plugin@dotenv-expand	35
dotenv-expand@file-loader	35
dayjs@pinia	35
babel/core@babel/preset-env	35
babel-jest@case-sensitive-paths-webpack-plugin	35
babel-core@webpack-dev-server	34
babel-core@css-loader	34
html2canvas@jspdf	34
mui/material@uuid	34
dotenv-expand@jest	34
fortawesome/free-brands-svg-icons@fortawesome/free-regular-svg-icons	34
got@lodash	34
babel-loader@redux	34
dotenv@typescript	34
fs-extra@winston	34
material-ui/core@prop-types	34
babel-jest@dotenv-expand	34
jest@url-loader	34
fortawesome/free-solid-svg-icons@uuid	34
less@less-loader	34
dotenv-expand@webpack	34
material-ui@redux-thunk	34
fortawesome/fontawesome-svg-core@uuid	34
axios@chart.js	34
fs-extra@redux-thunk	34
dotenv-expand@webpack-manifest-plugin	34
fortawesome/fontawesome-free@moment	34
axios@path	34
dayjs@uuid	34
styled-components@web-vitals	34
css-loader@mini-css-extract-plugin	34
cross-env@wait-on	34
babel-loader@dotenv-expand	34
mini-css-extract-plugin@webpack	33
axios@i18next	33
postcss-loader@sass-loader	33
glob@lodash	33
reduxjs/toolkit@history	33
core-js@devtron	33
node-fetch@uuid	33
redux@webpack	33
babel-eslint@webpack	33
jquery@socket.io	33
babel-jest@url-loader	33
postcss-flexbugs-fixes@url-loader	33
bootstrap@redux-thunk	33
redux@regenerator-runtime	33
eslint@jest	33
file-loader@sass-loader	33
date-fns@uuid	33
eslint@postcss-loader	33
i18next@uuid	33
eslint@typescript	33
babel-core@style-loader	33
dotenv-expand@resolve	33
dotenv@resolve	33
case-sensitive-paths-webpack-plugin@url-loader	33
axios@marked	33
eslint@url-loader	33
mini-css-extract-plugin@style-loader	33
fortawesome/fontawesome-svg-core@lodash	33
fortawesome/fontawesome-svg-core@core-js	33
dotenv@semver	33
moment@nedb	33
postcss-flexbugs-fixes@resolve	32
fs-extra@lowdb	32
css-loader@resolve	32
bulma@font-awesome	32
antd@classnames	32
url-loader@webpack-manifest-plugin	32
babel-eslint@css-loader	32
axios@popper.js	32
babel-loader@resolve	32
express@socket.io-client	32
eslint@eslint-plugin-jsx-a11y	32
dotenv@jquery	32
fortawesome/free-solid-svg-icons@lodash	32
fortawesome/free-solid-svg-icons@core-js	32
history@normalize.css	32
cross-env@typescript	32
babel-eslint@url-loader	32
resolve@style-loader	32
jest@resolve	32
html-webpack-plugin@ts-pnp	32
emotion/styled@reduxjs/toolkit	32
material-ui/icons@lodash	32
highlight.js@uuid	32
classnames@font-awesome	32
jquery@source-map-support	32
postcss-loader@resolve	32
i18next@redux	32
babel-eslint@webpack-dev-server	32
case-sensitive-paths-webpack-plugin@resolve	32
babel-jest@resolve	32
babel/core@sass-loader	32
async@jquery	32
resolve@webpack-dev-server	32
reflect-metadata@typeorm	32
resolve@webpack-manifest-plugin	32
axios@element-plus	32
material-ui/core@classnames	32
resolve@webpack	32
mui/lab@mui/material	32
fs-extra@typescript	32
axios@codemirror	32
debug@fs-extra	32
file-loader@resolve	32
bootstrap@fs-extra	31
fs-extra@glob	31
babel-eslint@html-webpack-plugin	31
material-ui/icons@history	31
case-sensitive-paths-webpack-plugin@eslint	31
reduxjs/toolkit@uuid	31
emotion/styled@mui/lab	31
babel-eslint@file-loader	31
fortawesome/fontawesome-svg-core@redux	31
babel-loader@mini-css-extract-plugin	31
eslint@postcss-flexbugs-fixes	31
dotenv@styled-components	31
axios@fs	31
axios@regenerator-runtime	31
babel-eslint@style-loader	31
express@mongoose	31
antd@moment	31
babel-jest@eslint	31
axios@echarts	31
babel/core@file-loader	31
mini-css-extract-plugin@webpack-dev-server	31
i18next@i18next-browser-languagedetector	31
dotenv-expand@url-loader	31
fortawesome/free-solid-svg-icons@redux	31
sqlite3@typeorm	31
tslib@uuid	30
got@semver	30
reflect-metadata@sqlite3	30
font-awesome@zone.js	30
material-ui/icons@source-map-support	30
axios@cross-env	30
body-parser@morgan	30
firebase@moment	30
html-webpack-plugin@jest-environment-jsdom-fourteen	30
axios@bulma	30
jquery@path	30
handlebars@moment	30
babel/core@dotenv	30
bufferutil@utf-8-validate	30
redux@rxjs	30
node-fetch@semver	30
babel/core@mini-css-extract-plugin	30
types/uuid@uuid	30
date-fns@lodash	30
fs-extra@sass-loader	30
axios@winston	30
typescript-eslint/eslint-plugin@typescript-eslint/parser	30
dotenv@sass-loader	30
express@typescript	30
eslint@sass-loader	30
chart.js@jquery	30
lodash@lowdb	30
express@express-session	30
lodash@reselect	30
eslint@webpack-manifest-plugin	30
babel-preset-es2015@webpack	30
body-parser@jquery	30
dotenv-expand@eslint	30
fs-extra@got	30
express@rxjs	30
express@nodemon	29
axios@sass-loader	29
fs-extra@prop-types	29
moment@webpack	29
antd@source-map-support	29
eslint-plugin-import@fs-extra	29
antd@redux-thunk	29
codemirror@lodash	29
babel-core@redux	29
dayjs@fs-extra	29
fs-extra@terser-webpack-plugin	29
lodash@zone.js	29
body-parser@request	29
redux@semver	29
element-plus@pinia	29
babel-loader@eslint-plugin-import	29
terser-webpack-plugin@webpack	29
sass-loader@url-loader	29
lodash@yargs	29
css-loader@extract-text-webpack-plugin	29
redux@request	29
eslint-plugin-import@url-loader	29
babel-eslint@eslint-plugin-import	29
adm-zip@fs-extra	29
emotion/styled@styled-components	29
express@path	29
bootstrap@source-map-support	29
mini-css-extract-plugin@sass-loader	29
mini-css-extract-plugin@postcss-loader	29
babel/core@eslint	29
reduxjs/toolkit@redux-thunk	29
mui/icons-material@mui/lab	29
material-ui/icons@styled-components	29
mui/icons-material@uuid	29
css-loader@eslint-plugin-import	29
mui/material@web-vitals	29
eslint-loader@url-loader	28
lodash@normalize.css	28
body-parser@cookie-parser	28
axios@socket.io	28
resolve@url-loader	28
dotenv@node-fetch	28
babel/core@semver	28
highlight.js@moment	28
history@request	28
babel-eslint@postcss-loader	28
file-loader@mini-css-extract-plugin	28
eslint-plugin-import@webpack-dev-server	28
lodash@typescript	28
express@redux-thunk	28
eslint-plugin-import@style-loader	28
eslint-plugin-import@webpack	28
core-js@request	28
semver@webpack	28
babel-eslint@jest	28
dotenv@eslint-plugin-import	28
babel/core@postcss-loader	28
chart.js@lodash	28
reduxjs/toolkit@regenerator-runtime	28
html-webpack-plugin@redux-thunk	28
eslint-loader@html-webpack-plugin	28
babel-eslint@babel-jest	28
babel-eslint@dotenv	28
rxjs@sqlite3	28
fs-extra@mini-css-extract-plugin	28
moment@underscore	28
eslint-loader@file-loader	28
highlight.js@jquery	28
babel/preset-env@babel-loader	28
eslint-plugin-import@file-loader	28
fs-extra@sqlite3	28
jquery@prop-types	28
async@lodash	28
styled-components@typescript	28
babel-polyfill@redux	28
core-js@dotenv	28
eslint@eslint-loader	28
devtron@lodash	28
express@sqlite3	28
lodash@regenerator-runtime	28
babel-eslint@fs-extra	28
eslint-loader@webpack-dev-server	28
body-parser@socket.io	28
axios@framer-motion	28
eslint-plugin-jsx-a11y@style-loader	27
eslint-loader@webpack	27
postcss-loader@terser-webpack-plugin	27
extract-text-webpack-plugin@style-loader	27
postcss-loader@postcss-preset-env	27
mini-css-extract-plugin@terser-webpack-plugin	27
jquery@underscore	27
babel/core@terser-webpack-plugin	27
cheerio@jquery	27
moment@winston	27
cross-env@redux	27
fortawesome/fontawesome-free@lodash	27
prop-types@redux-logger	27
dotenv@history	27
auto-launch@axios	27
fs-extra@history	27
babel-eslint@eslint-loader	27
extract-text-webpack-plugin@webpack	27
postcss-preset-env@style-loader	27
mini-css-extract-plugin@postcss-preset-env	27
css-loader@terser-webpack-plugin	27
quasar/extras@axios	27
css-loader@eslint-plugin-jsx-a11y	27
lodash@rimraf	27
node-sass@redux-thunk	27
moment@zone.js	27
formik@yup	27
chalk@webpack	27
eslint-plugin-jsx-a11y@fs-extra	27
css-loader@postcss-preset-env	27
reduxjs/toolkit@lodash	27
babel-loader@redux-thunk	27
bootstrap@web-vitals	27
eslint-plugin-import@html-webpack-plugin	27
core-js@quasar	27
eslint@resolve	27
eslint-plugin-import@postcss-loader	27
jest@sass-loader	27
babel-eslint@eslint-plugin-jsx-a11y	27
terser-webpack-plugin@webpack-dev-server	27
classnames@styled-components	27
compression@express	27
redux@redux-devtools-extension	27
webpack@webpack-cli	27
babel-loader@terser-webpack-plugin	27
antd@styled-components	27
axios@quasar	27
d3@lodash	27
eslint-loader@style-loader	27
fs-extra@styled-components	27
postcss-preset-env@webpack	27
css-loader@eslint-loader	27
babel-loader@eslint-loader	27
bootstrap@history	26
html-webpack-plugin@source-map-loader	26
css-loader@eslint-plugin-flowtype	26
babel-eslint@dotenv-expand	26
axios@mobx	26
sass@sass-loader	26
fortawesome/fontawesome-svg-core@moment	26
dotenv@eslint-plugin-flowtype	26
eslint-plugin-flowtype@html-webpack-plugin	26
eslint-plugin-flowtype@file-loader	26
eslint-plugin-jsx-a11y@webpack	26
eslint-plugin-jsx-a11y@url-loader	26
html-webpack-plugin@webpack-cli	26
eslint-plugin-flowtype@jest	26
material-ui/icons@prop-types	26
babel-loader@postcss-preset-env	26
dotenv@eslint-loader	26
html-webpack-plugin@whatwg-fetch	26
eslint-plugin-import@webpack-manifest-plugin	26
html-webpack-plugin@sw-precache-webpack-plugin	26
eslint-plugin-flowtype@fs-extra	26
codemirror@moment	26
eslint-plugin-flowtype@postcss-loader	26
dotenv@eslint-plugin-jsx-a11y	26
babel/core@jest	26
fortawesome/free-solid-svg-icons@bootstrap	26
axios@form-data	26
eslint-plugin-jsx-a11y@postcss-loader	26
fs-extra@postcss-preset-env	26
babel-loader@eslint-plugin-jsx-a11y	26
auto-launch@moment	26
style-loader@terser-webpack-plugin	26
postcss-preset-env@terser-webpack-plugin	26
postcss-preset-env@webpack-dev-server	26
fortawesome/free-solid-svg-icons@moment	26
eslint-plugin-jsx-a11y@postcss-flexbugs-fixes	26
bootstrap@tslib	26
lodash@reflect-metadata	26
case-sensitive-paths-webpack-plugin@sass-loader	26
material-ui/icons@classnames	26
emotion/styled@lodash	26
reselect@styled-components	26
babel-jest@eslint-plugin-import	26
babel-jest@eslint-plugin-flowtype	26
babel-eslint@case-sensitive-paths-webpack-plugin	26
material-ui/core@uuid	26
eslint-plugin-jsx-a11y@jest	26
babel-core@file-loader	26
eslint-plugin-flowtype@eslint-plugin-jsx-a11y	26
eslint-plugin-jsx-a11y@html-webpack-plugin	26
eslint-plugin-jsx-a11y@file-loader	26
babel-eslint@eslint-plugin-flowtype	26
devtron@moment	26
eslint-plugin-flowtype@postcss-flexbugs-fixes	26
eslint-plugin-flowtype@eslint-plugin-import	26
resolve@semver	26
auto-launch@lodash	26
types/node@cross-env	26
jest@mini-css-extract-plugin	26
case-sensitive-paths-webpack-plugin@eslint-plugin-jsx-a11y	26
babel/core@postcss-preset-env	26
bootstrap@chart.js	26
babel-jest@eslint-plugin-jsx-a11y	26
case-sensitive-paths-webpack-plugin@eslint-plugin-import	26
case-sensitive-paths-webpack-plugin@eslint-plugin-flowtype	26
body-parser@express-session	26
quasar/extras@core-js	26
babel-eslint@postcss-flexbugs-fixes	26
fortawesome/fontawesome-svg-core@bootstrap	26
fs-extra@source-map-support	26
html-webpack-plugin@object-assign	26
history@redux-localstorage	26
eslint-loader@postcss-loader	26
html-webpack-plugin@promise	26
babel-eslint@webpack-manifest-plugin	26
css-loader@typescript	26
eslint-loader@fs-extra	26
lodash@ws	26
eslint-plugin-import@postcss-flexbugs-fixes	26
eslint@eslint-plugin-flowtype	26
history@mobx	26
element-ui@moment	26
dotenv@prop-types	26
eslint-plugin-jsx-a11y@webpack-dev-server	26
eslint-plugin-flowtype@style-loader	26
eslint-plugin-flowtype@webpack-dev-server	26
eslint-plugin-import@jest	26
babel/core@url-loader	26
eslint@mini-css-extract-plugin	26
eslint-plugin-jsx-a11y@webpack-manifest-plugin	26
material-ui/core@moment	26
core-js@nedb	26
eslint-plugin-flowtype@webpack-manifest-plugin	26
redux@typescript	26
moment@semver	26
core-js@hammerjs	26
eslint-plugin-flowtype@url-loader	26
redux-actions@redux-thunk	25
emotion/styled@moment	25
date-fns@styled-components	25
emotion/styled@history	25
optimize-css-assets-webpack-plugin@webpack-dev-server	25
babel-loader@optimize-css-assets-webpack-plugin	25
babel/core@case-sensitive-paths-webpack-plugin	25
css-loader@optimize-css-assets-webpack-plugin	25
dotenv-expand@eslint-plugin-jsx-a11y	25
i18next@moment	25
case-sensitive-paths-webpack-plugin@mini-css-extract-plugin	25
axios@ws	25
babel-loader@eslint-plugin-flowtype	25
case-sensitive-paths-webpack-plugin@postcss-preset-env	25
eslint-loader@eslint-plugin-import	25
types/node@axios	25
eslint-plugin-flowtype@webpack	25
lodash@redux-logger	25
reduxjs/toolkit@source-map-support	25
mini-css-extract-plugin@postcss-flexbugs-fixes	25
file-loader@postcss-preset-env	25
babel-jest@sass-loader	25
socket.io-client@uuid	25
dotenv@mini-css-extract-plugin	25
file-loader@terser-webpack-plugin	25
mui/icons-material@web-vitals	25
sqlite3@uuid	25
core-js@date-fns	25
eslint-loader@postcss-flexbugs-fixes	25
dotenv-expand@eslint-plugin-flowtype	25
redux-thunk@regenerator-runtime	25
dotenv@terser-webpack-plugin	25
babel-loader@extract-text-webpack-plugin	25
fortawesome/fontawesome-free@popper.js	25
express@multer	25
autoprefixer@postcss-loader	25
postcss-flexbugs-fixes@terser-webpack-plugin	25
case-sensitive-paths-webpack-plugin@terser-webpack-plugin	25
sass-loader@webpack-manifest-plugin	25
fs-extra@mkdirp	25
sass-loader@terser-webpack-plugin	25
babel/core@webpack-manifest-plugin	25
postcss-flexbugs-fixes@sass-loader	25
node-pty@xterm-addon-fit	25
core-js@tailwindcss	25
axios@open	25
bluebird@moment	25
mui/material@reduxjs/toolkit	25
express@webpack	25
cross-env@node-sass	25
moment@node-sass	25
redux@webpack-dev-server	25
axios@iview	25
cross-env@express	25
uuid@ws	25
style-loader@typescript	25
dotenv-expand@eslint-plugin-import	25
devtron@prop-types	25
immutable@lodash	25
moment@moment-duration-format	25
case-sensitive-paths-webpack-plugin@eslint-loader	25
fluent-ffmpeg@ytdl-core	25
postcss-flexbugs-fixes@postcss-preset-env	25
got@uuid	25
optimize-css-assets-webpack-plugin@webpack	25
dotenv@postcss-preset-env	25
fs-extra@minimist	25
babel/core@workbox-webpack-plugin	24
ffmpeg-static@fluent-ffmpeg	24
ant-design/icons@axios	24
jquery@node-fetch	24
typescript-eslint/eslint-plugin@eslint	24
babel-plugin-named-asset-import@workbox-webpack-plugin	24
dotenv-expand@mini-css-extract-plugin	24
ngx-translate/core@rxjs	24
semver@typescript	24
babel-loader@babel-plugin-named-asset-import	24
ngx-translate/core@zone.js	24
bootstrap@styled-components	24
fs-extra@rxjs	24
dotenv-expand@terser-webpack-plugin	24
uuid@winston	24
dotenv-expand@eslint-loader	24
postcss-preset-env@sass-loader	24
hammerjs@jquery	24
bindings@node-addon-api	24
babel-loader@workbox-webpack-plugin	24
core-js@crypto-js	24
html-webpack-plugin@raf	24
optimize-css-assets-webpack-plugin@style-loader	24
svgr/webpack@webpack	24
