Dependency Pair	Co-Occurences
electron-debug@source-map-support	265
axios@electron-updater	261
angular/animations@rxjs	260
angular/animations@angular/platform-browser	259
react-router-dom@react-scripts	259
electron-log@electron-store	259
angular/animations@angular/platform-browser-dynamic	259
angular/animations@zone.js	259
angular/animations@angular/common	258
angular/animations@angular/core	258
react-dom@web-vitals	255
react@web-vitals	255
angular/animations@angular/compiler	254
react@uuid	254
react-dom@uuid	251
angular/animations@angular/router	251
react-router@redux-thunk	251
electron-debug@react-redux	249
react-scripts@web-vitals	240
react-router-dom@source-map-support	236
electron-debug@redux	231
testing-library/jest-dom@web-vitals	229
history@react-router-redux	229
react-redux@source-map-support	229
testing-library/react@web-vitals	227
testing-library/user-event@web-vitals	226
redux@source-map-support	224
history@regenerator-runtime	222
emotion/react@emotion/styled	219
core-js@rxjs	217
emotion/react@react-dom	214
electron-is-dev@react-router-dom	214
material-ui/core@react	213
emotion/react@react	213
redux-thunk@source-map-support	211
material-ui/core@react-dom	211
axios@electron-store	210
electron-debug@redux-thunk	206
electron-updater@history	206
antd@react	206
axios@lodash	206
antd@react-dom	205
core-js@zone.js	202
electron-log@history	202
emotion/styled@react-dom	202
emotion/styled@react	201
react-router-dom@styled-components	201
react-hot-loader@react-router-dom	201
angular/platform-browser@core-js	199
angular/common@core-js	199
angular/platform-browser-dynamic@core-js	199
angular/core@core-js	198
testing-library/jest-dom@electron-is-dev	197
angular/forms@core-js	195
angular/router@core-js	195
testing-library/react@electron-is-dev	194
testing-library/user-event@electron-is-dev	194
react-router@source-map-support	191
angular/compiler@core-js	190
react-hot-loader@react-redux	189
axios@electron-log	187
react-hot-loader@redux	187
electron-store@react-router-dom	186
electron-debug@react-router	184
axios@core-js	184
rxjs@tslib	184
types/react@react-dom	184
types/react@react	184
lodash@react-router-dom	183
types/react-dom@react-dom	183
types/react-dom@react	183
electron-updater@vue	183
react-dom@react-icons	182
react@react-icons	182
react@react-router-redux	181
bootstrap@react	181
react-dom@react-router-redux	180
react-router-redux@redux	179
bootstrap@react-dom	179
angular/http@angular/platform-browser	178
angular/http@angular/platform-browser-dynamic	178
angular/common@angular/http	178
vue@vuetify	177
axios@moment	177
angular/core@angular/http	177
angular/http@rxjs	176
react-hot-loader@source-map-support	176
types/react@types/react-dom	176
react-redux@react-router-redux	175
angular/http@zone.js	175
react-dom@typescript	175
tslib@zone.js	175
angular/forms@angular/http	175
react@typescript	175
angular/compiler@angular/http	174
angular/core@tslib	172
angular/common@tslib	171
angular/platform-browser@tslib	171
lodash@moment	171
angular/platform-browser-dynamic@tslib	171
cross-env@react	170
cross-env@react-dom	169
angular/forms@tslib	169
react-hot-loader@redux-thunk	169
moment@react-router-dom	168
electron-updater@lodash	165
angular/router@tslib	165
material-ui/icons@react	165
material-ui/core@material-ui/icons	164
material-ui/icons@react-dom	164
fs-extra@react	164
electron-updater@react-redux	164
element-ui@vue	163
angular/compiler@tslib	163
electron-store@vue	163
fortawesome/fontawesome-svg-core@fortawesome/free-solid-svg-icons	162
axios@react-redux	161
angular/http@angular/router	161
jquery@popper.js	161
font-awesome@react	160
reduxjs/toolkit@react-redux	160
fs-extra@react-dom	160
react-router-redux@redux-thunk	160
electron-debug@react-hot-loader	160
react-router@react-router-redux	160
body-parser@express	160
font-awesome@react-dom	159
lodash@react-redux	158
reduxjs/toolkit@react	157
bootstrap@popper.js	157
angular/http@core-js	157
testing-library/jest-dom@react-router-dom	157
lodash@vue	157
dotenv@react-dom	156
dotenv@react	156
reduxjs/toolkit@react-dom	156
testing-library/react@react-router-dom	156
lodash@redux	156
react-hot-loader@react-router	155
angular/animations@tslib	154
testing-library/user-event@react-router-dom	154
electron-log@source-map-support	153
history@lodash	152
emotion/react@mui/material	152
emotion/styled@mui/material	152
electron-log@react-redux	150
electron-updater@source-map-support	149
electron-updater@vue-router	149
classnames@react-router-dom	147
react-router-dom@uuid	147
express@react	146
express@react-dom	146
element-ui@vue-router	145
vue-router@vuetify	142
angular/animations@angular/cdk	142
moment@vue	142
emotion/react@react-router-dom	142
axios@uuid	141
mui/material@react-dom	141
vue@vuex-electron	140
mui/material@react	140
prop-types@react-redux	140
electron-store@uuid	139
types/node@react	139
vuex@vuex-electron	139
types/node@react-dom	138
vue-router@vuex-electron	137
electron-store@lodash	137
fs-extra@lodash	136
angular/animations@core-js	136
electron-log@lodash	136
react@regenerator-runtime	135
element-ui@vuex	135
react-dom@regenerator-runtime	133
react-redux@styled-components	133
electron-updater@uuid	133
electron-updater@redux	133
emotion/styled@react-router-dom	133
moment@react-redux	132
html-webpack-plugin@webpack	132
core-js@electron-updater	132
prop-types@redux	131
electron-is-dev@electron-store	130
prop-types@react-router-dom	130
electron-is-dev@electron-updater	129
vue-electron@vuex-electron	129
vuetify@vuex	128
classnames@react-redux	128
history@prop-types	128
font-awesome@redux	128
react-router-redux@source-map-support	127
lodash@uuid	126
axios@redux	126
electron-is-dev@web-vitals	126
types/node@types/react	125
antd@react-router-dom	125
electron-log@redux	125
types/node@typescript	125
font-awesome@react-redux	125
electron-updater@fs-extra	125
electron-debug@react-router-redux	124
types/node@types/react-dom	124
history@styled-components	124
react-router-dom@react-router-redux	124
cross-env@react-scripts	123
history@moment	122
electron-store@vue-router	122
electron-updater@moment	122
vue@vue-i18n	122
classnames@redux	121
react-router-dom@regenerator-runtime	121
cross-env@electron-is-dev	121
angular/cdk@angular/forms	121
react-icons@react-router-dom	121
devtron@react-dom	121
devtron@react	121
axios@express	120
jquery@moment	120
axios@vuex-electron	120
react-redux@react-scripts	120
angular/animations@angular/material	120
devtron@electron-debug	119
react@react-bootstrap	119
jquery@react	118
mui/icons-material@mui/material	118
font-awesome@redux-thunk	118
axios@electron-is-dev	118
moment@redux	118
emotion/styled@mui/icons-material	117
react-bootstrap@react-dom	117
emotion/react@mui/icons-material	116
angular/cdk@angular/material	116
electron-squirrel-startup@react-router-dom	116
font-awesome@source-map-support	116
jquery@react-dom	115
electron@jquery	115
react-scripts@typescript	115
material-ui/core@react-router-dom	114
redux@styled-components	114
reduxjs/toolkit@react-router-dom	114
lodash@vue-router	114
html-webpack-plugin@webpack-dev-server	114
electron-devtools-installer@react	114
electron-devtools-installer@react-dom	114
devtron@source-map-support	114
devtron@react-hot-loader	113
electron-toolkit/preload@electron-toolkit/utils	113
types/react-dom@typescript	113
font-awesome@react-router	113
angular/cdk@angular/core	112
html-webpack-plugin@react	112
angular/cdk@zone.js	112
types/react@typescript	112
angular/cdk@rxjs	112
electron-debug@electron-store	112
moment@vue-router	112
html-webpack-plugin@react-dom	112
angular/cdk@angular/platform-browser-dynamic	111
axios@jquery	111
angular/cdk@angular/platform-browser	111
electron-log@regenerator-runtime	111
html-webpack-plugin@style-loader	110
electron-debug@regenerator-runtime	110
electron-debug@font-awesome	110
angular/cdk@angular/common	110
electron-updater@regenerator-runtime	109
axios@element-ui	109
angular/forms@angular/material	109
electron-log@uuid	109
angular/cdk@angular/compiler	109
electron-squirrel-startup@electron-store	109
devtron@history	109
hot-loader/react-dom@react-dom	108
react@webpack	108
mui/icons-material@react-dom	108
react-dom@webpack	108
angular/cdk@angular/router	108
axios@fs-extra	108
hot-loader/react-dom@react	108
devtron@react-router-dom	108
electron-updater@vuex	108
devtron@redux	108
angular/animations@angular/http	107
uuid@vue	107
mui/icons-material@react	107
devtron@react-redux	107
devtron@react-router	107
cors@express	106
lodash@redux-thunk	105
vue-i18n@vue-router	105
moment@vuex	105
lodash@vuex	105
classnames@lodash	104
mobx@react	103
axios@react-scripts	103
electron-is-dev@react-redux	103
mobx@react-dom	102
electron-updater@redux-thunk	102
react-router-dom@web-vitals	102
types/jest@react-dom	102
i18next@react	102
types/jest@react	102
devtron@redux-thunk	102
concurrently@react-dom	101
electron-is-dev@electron-log	101
axios@bootstrap	101
i18next@react-dom	101
jquery@lodash	101
concurrently@react	101
react-redux@uuid	100
electron-compile@electron-squirrel-startup	100
react-dom@redux-logger	100
i18next@react-i18next	100
node-sass@react	100
react@redux-logger	100
react-scripts@redux	100
axios@electron-squirrel-startup	100
pinia@vue	99
node-sass@react-dom	99
babel-loader@webpack	99
font-awesome@react-router-redux	99
types/jest@types/react-dom	98
electron-log@vue	98
angular/common@angular/material	98
react-redux@redux-logger	98
types/react-dom@react-scripts	98
react@react-i18next	98
electron-log@redux-thunk	97
angular/core@angular/material	97
react-dom@react-i18next	97
electron-log@moment	97
pinia@vue-router	97
electron-store@moment	96
angular/material@angular/platform-browser	96
angular/compiler@angular/material	96
angular/material@angular/platform-browser-dynamic	96
babel-loader@react-dom	96
axios@electron-debug	96
angular/material@rxjs	96
babel-loader@react	96
fortawesome/react-fontawesome@react	95
fs-extra@vue	95
express@socket.io	95
angular/material@zone.js	95
react-hot-loader@react-router-redux	95
fortawesome/react-fontawesome@react-dom	95
core-js@lodash	95
fortawesome/fontawesome-svg-core@fortawesome/react-fontawesome	94
mui/material@react-router-dom	94
history@uuid	94
font-awesome@react-router-dom	94
angular/material@angular/router	94
types/jest@types/node	94
electron-store@vuex	94
hot-loader/react-dom@react-hot-loader	94
lodash@react-router	94
types/node@react-scripts	94
electron-store@react-redux	93
types/jest@typescript	93
bootstrap@react-bootstrap	93
moment@uuid	92
fortawesome/free-solid-svg-icons@fortawesome/react-fontawesome	92
hot-loader/react-dom@react-redux	92
types/jest@types/react	92
types/react@react-scripts	92
moment@redux-thunk	92
prop-types@redux-thunk	91
fortawesome/fontawesome-free@react-dom	91
jquery@request	91
fortawesome/fontawesome-free@react	91
electron-updater@jquery	91
electron-debug@lodash	91
hot-loader/react-dom@redux	91
fs-extra@semver	91
redux@redux-logger	91
hot-loader/react-dom@react-router-dom	91
electron-store@fs-extra	90
dotenv@react-router-dom	90
testing-library/react@cross-env	90
react-scripts@styled-components	90
bootstrap@moment	90
testing-library/user-event@cross-env	89
css-loader@style-loader	89
vue@vue-class-component	89
react@request	89
react-dom@request	89
axios@dotenv	89
material-ui/icons@react-router-dom	89
testing-library/jest-dom@cross-env	89
fortawesome/fontawesome-svg-core@react	88
fortawesome/fontawesome-svg-core@react-dom	88
classnames@redux-thunk	88
html-webpack-plugin@postcss-loader	88
electron/remote@react-dom	87
react-dom@wait-on	87
babel-preset-react@react	87
types/jest@react-scripts	87
fortawesome/free-solid-svg-icons@react-dom	87
bootstrap@react-router-dom	87
electron/remote@react	87
fortawesome/free-solid-svg-icons@react	87
babel-preset-react@react-dom	87
element-ui@vue-electron	87
dayjs@vue	86
core-js@electron-store	86
redux@uuid	86
date-fns@react	85
electron@react-router-dom	85
electron-is-dev@redux	85
react@wait-on	85
electron-updater@react-router	85
core-js@vuetify	85
jquery@vue	85
hot-loader/react-dom@source-map-support	84
framer-motion@react	84
framer-motion@react-dom	84
emotion/react@electron-updater	84
axios@redux-thunk	84
connected-react-router@react-dom	84
mobx-react@react	84
electron-log@fs-extra	84
uuid@vue-router	84
connected-react-router@react	84
mobx@mobx-react	84
lodash@source-map-support	83
date-fns@react-dom	83
mobx-react@react-dom	83
material-ui@react-dom	83
connected-react-router@react-redux	83
react@react-transition-group	82
axios@vue-i18n	82
react@sqlite3	82
moment@react-router	82
material-ui@react	82
react-dom@react-transition-group	81
electron-is-dev@styled-components	81
react@react-dropzone	81
axios@dayjs	81
connected-react-router@redux	81
electron@electron-packager	81
react-dom@react-dropzone	81
fortawesome/fontawesome-free@electron-updater	81
angular/cdk@tslib	81
hot-loader/react-dom@electron-log	80
electron-store@jquery	80
hot-loader/react-dom@redux-thunk	80
electron-window-state@react-dom	79
css-loader@webpack	79
emotion/styled@electron-updater	79
emotion/react@electron-log	79
react@semver	79
electron-window-state@react	79
vue@vue-property-decorator	79
webpack@webpack-dev-server	79
axios@history	78
connected-react-router@react-router-dom	78
react-dom@semver	78
core-js@electron-log	78
electron-updater@styled-components	78
html-webpack-plugin@url-loader	78
vue-i18n@vuex	78
font-awesome@history	78
dayjs@vue-router	78
electron-log@vue-router	78
classnames@prop-types	78
cross-env@react-router-dom	78
hot-loader/react-dom@electron-updater	77
bootstrap@vue	77
node-fetch@react	77
fortawesome/fontawesome-free@react-router-dom	77
electron-store@redux	77
vue-class-component@vuex	77
electron-updater@react-hot-loader	77
react-dom@sqlite3	77
electron@lodash	77
testing-library/jest-dom@typescript	76
electron@react-scripts	76
electron-log@react-hot-loader	76
html-webpack-plugin@jest	76
hot-loader/react-dom@electron-debug	76
electron-is-dev@typescript	76
html-webpack-plugin@postcss-flexbugs-fixes	76
fortawesome/fontawesome-free@electron-debug	76
hot-loader/react-dom@history	76
node-fetch@react-dom	76
axios@vuetify	76
lodash@request	76
html-webpack-plugin@react-dev-utils	76
react-dom@style-loader	76
react@style-loader	76
electron-log@styled-components	75
testing-library/user-event@typescript	75
connected-react-router@history	75
testing-library/react@typescript	75
axios@source-map-support	75
fs-extra@vue-router	75
fs-extra@uuid	75
emotion/styled@electron-log	75
electron-updater@electron-window-state	75
electron-is-dev@lodash	75
material-ui/core@react-redux	74
fortawesome/fontawesome-free@source-map-support	74
clsx@react	74
style-loader@webpack	74
clsx@react-dom	74
vue-class-component@vue-property-decorator	74
font-awesome@moment	74
css-loader@react	74
html-webpack-plugin@webpack-manifest-plugin	74
css-loader@react-dom	74
concurrently@wait-on	74
font-awesome@react-hot-loader	73
concurrently@react-scripts	73
dotenv@electron-updater	73
fortawesome/fontawesome-free@react-redux	73
electron-debug@moment	72
babel-loader@css-loader	72
lodash@prop-types	72
react-router-dom@typescript	72
electron-is-dev@electron-squirrel-startup	72
classnames@react-router	72
fortawesome/fontawesome-free@electron-log	72
axios@react-router	72
fortawesome/fontawesome-free@redux	72
fs-extra@react-router-dom	72
babel-loader@webpack-dev-server	72
electron-is-dev@moment	72
electron-context-menu@electron-store	72
classnames@electron-updater	71
emotion/react@axios	71
react-dom@redux-persist	71
react-dom@react-select	71
uuid@vuex	71
vue-property-decorator@vuex	71
react-scripts@wait-on	71
react@redux-persist	71
react@react-select	71
react@webpack-dev-server	71
core-js@moment	71
vue-class-component@vue-router	71
fortawesome/fontawesome-free@history	71
react-dom@webpack-dev-server	71
mui/icons-material@react-router-dom	71
highlight.js@marked	70
file-loader@react-dom	70
hot-loader/react-dom@connected-react-router	70
electron-store@electron-window-state	70
testing-library/jest-dom@types/jest	70
file-loader@react	70
electron@vue	70
hammerjs@zone.js	70
react-redux@redux-persist	70
fs-extra@moment	70
babel-loader@style-loader	70
electron-log@react-router	70
material-ui/core@redux	70
testing-library/jest-dom@types/react-dom	70
testing-library/react@types/jest	70
redux-logger@redux-thunk	70
bootstrap@core-js	69
types/react-dom@react-router-dom	69
express@lodash	69
testing-library/user-event@types/react-dom	69
testing-library/user-event@types/jest	69
testing-library/react@types/react-dom	69
highlight.js@react	68
reflect-metadata@rxjs	68
axios@request	68
axios@styled-components	68
framer-motion@react-router-dom	68
html-webpack-plugin@sass-loader	68
core-js@react	68
testing-library/jest-dom@types/node	68
electron/remote@electron-updater	68
highlight.js@react-dom	68
i18next@react-router-dom	68
antd@react-redux	68
ant-design/icons@antd	68
electron-updater@request	68
ant-design/icons@react	68
fortawesome/fontawesome-free@react-hot-loader	68
types/react@react-router-dom	67
testing-library/user-event@types/node	67
core-js@react-dom	67
emotion/styled@axios	67
reduxjs/toolkit@redux	67
express@jquery	67
connected-react-router@redux-thunk	67
testing-library/react@types/node	67
moment@source-map-support	67
prop-types@react-router	67
express@moment	66
testing-library/jest-dom@types/react	66
classnames@electron-debug	66
ant-design/icons@react-dom	66
hammerjs@rxjs	66
font-awesome@jquery	66
babel-core@react	66
react@react-color	66
react-color@react-dom	66
fortawesome/fontawesome-free@redux-thunk	66
font-awesome@lodash	65
electron@react-redux	65
electron-debug@uuid	65
testing-library/react@types/react	65
babel-core@react-dom	65
react-i18next@react-router-dom	65
dayjs@react	65
electron-log@jquery	65
testing-library/user-event@types/react	65
redux-thunk@styled-components	65
dayjs@react-dom	65
axios@electron	65
immutable@react	65
electron-squirrel-startup@jquery	65
classnames@electron-store	64
bootstrap@rxjs	64
reduxjs/toolkit@electron-updater	64
electron-updater@node-fetch	64
reduxjs/toolkit@electron-log	64
vue-property-decorator@vue-router	64
bootstrap@electron-squirrel-startup	64
html-webpack-plugin@resolve	64
react-bootstrap@react-router-dom	64
electron-reload@react	64
fs-extra@vuex	64
antd@axios	64
regenerator-runtime@source-map-support	64
electron-log@vuex	64
immutable@react-dom	63
css-loader@file-loader	63
fs-extra@react-redux	63
redux@reselect	63
bootstrap@electron-updater	63
axios@classnames	63
lodash@styled-components	63
electron@redux	63
core-js@vue-class-component	63
react-dom@react-hook-form	63
highlight.js@vue	63
angular/material@tslib	63
electron-reload@react-dom	63
express@request	63
electron-is-dev@uuid	63
file-loader@style-loader	62
react@react-hook-form	62
classnames@history	62
babel-preset-es2015@react	62
html-webpack-plugin@mini-css-extract-plugin	62
types/node@react-router-dom	62
react@reselect	62
react-redux@reselect	62
electron@moment	62
history@jquery	62
bootstrap@electron-store	62
react-dom@url-loader	61
express@react-router-dom	61
dayjs@electron-updater	61
electron-context-menu@electron-updater	61
react@socket.io-client	61
react@url-loader	61
react-dom@reselect	61
classnames@source-map-support	61
core-js@uuid	61
classnames@electron-log	61
fortawesome/free-regular-svg-icons@fortawesome/free-solid-svg-icons	61
react-dom@socket.io-client	61
material-ui/core@react-scripts	61
babel-preset-es2015@react-dom	61
electron-updater@express	60
core-js@vue-i18n	60
dotenv@express	60
testing-library/jest-dom@axios	60
bootstrap@lodash	60
axios@pinia	60
testing-library/react@wait-on	60
axios@prop-types	60
types/react-dom@electron-is-dev	60
babel-preset-es2015@babel-preset-react	60
bootstrap@font-awesome	60
fs-extra@jquery	60
lodash@semver	60
file-loader@webpack	60
react@redux-saga	59
testing-library/user-event@wait-on	59
react-dom@react-toastify	59
electron-debug@styled-components	59
bootstrap@electron	59
moment@prop-types	59
testing-library/react@axios	59
material-ui/core@material-ui/lab	59
react@react-toastify	59
fortawesome/fontawesome-svg-core@fortawesome/free-regular-svg-icons	59
react-dom@sass-loader	59
babel-core@babel-loader	59
electron-store@source-map-support	59
lodash@rxjs	59
testing-library/user-event@axios	59
emotion/react@electron-debug	59
classnames@moment	59
vue@vuedraggable	59
electron/remote@axios	59
react@sass-loader	59
redux@redux-persist	59
electron-serve@electron-store	59
axios@cheerio	59
types/node@electron-is-dev	59
testing-library/jest-dom@wait-on	59
react-icons@styled-components	59
mui/material@electron-updater	58
angular/forms@bootstrap	58
react-dom@rxjs	58
electron-context-menu@react	58
socket.io@socket.io-client	58
dotenv@fs-extra	58
electron-context-menu@react-dom	58
react-scripts@redux-thunk	58
jquery@vue-router	58
firebase@react	58
normalize.css@react-dom	58
material-ui/lab@react	58
react-router@styled-components	58
fortawesome/fontawesome-svg-core@fortawesome/free-brands-svg-icons	58
classnames@uuid	58
request@vue	58
nedb@vue	58
connected-react-router@react-router	57
react-dom@redux-saga	57
fs-extra@webpack	57
testing-library/react@concurrently	57
material-ui/lab@react-dom	57
codemirror@react	57
fortawesome/fontawesome-free@devtron	57
angular/platform-browser-dynamic@bootstrap	57
angular/common@bootstrap	57
fortawesome/free-brands-svg-icons@fortawesome/free-solid-svg-icons	57
react-redux@redux-saga	57
angular/platform-browser@bootstrap	57
bootstrap@react-scripts	57
sentry/electron@electron-updater	57
electron-squirrel-startup@update-electron-app	57
css-loader@webpack-dev-server	57
electron-store@node-fetch	57
react@rxjs	57
classnames@electron-is-dev	57
css-loader@html-webpack-plugin	56
firebase@react-dom	56
codemirror@react-dom	56
angular/compiler@bootstrap	56
chalk@fs-extra	56
emotion/styled@electron-debug	56
angular/core@bootstrap	56
sequelize@sqlite3	56
clsx@react-router-dom	56
testing-library/jest-dom@concurrently	56
react-hot-loader@styled-components	56
auto-launch@electron-updater	56
electron-is-dev@wait-on	56
devtron@react-router-redux	56
types/react@electron-is-dev	56
html-webpack-plugin@react-router-dom	56
express@vue	56
jquery@react-router-dom	56
history@reselect	56
angular/router@bootstrap	56
eslint@react	56
normalize.css@react	56
body-parser@cors	56
core-js@fs-extra	56
core-js@element-ui	56
electron-squirrel-startup@react-redux	56
eslint@react-dom	56
react-scripts@uuid	56
file-loader@url-loader	56
electron-compile@react-dom	55
node-sass@sass-loader	55
node-sass@react-router-dom	55
babel-loader@html-webpack-plugin	55
electron-is-dev@prop-types	55
electron-compile@electron-devtools-installer	55
devtron@electron-updater	55
fortawesome/fontawesome-free@react-router	55
electron-toolkit/utils@electron-updater	55
style-loader@webpack-dev-server	55
electron-compile@react	55
bootstrap@zone.js	55
electron@electron-store	55
testing-library/user-event@concurrently	55
babel-loader@file-loader	55
moment@request	55
electron-updater@prop-types	54
typescript@web-vitals	54
react-dom@semantic-ui-react	54
babel/core@react	54
electron-store@history	54
react@react-markdown	54
moment@vue-electron	54
redux-thunk@uuid	54
react@semantic-ui-react	54
cross-env@web-vitals	54
electron-store@react-icons	54
html-webpack-plugin@postcss-preset-env	54
chart.js@react-dom	54
bootstrap@electron-is-dev	54
chart.js@react	54
bootstrap@electron-log	54
material-ui/core@redux-thunk	54
react-router-dom@react-transition-group	54
babel/core@react-dom	53
fs-extra@redux	53
hot-loader/react-dom@core-js	53
types/react-router-dom@react	53
types/react-router-dom@react-router-dom	53
fs-extra@request	53
bootstrap@vue-router	53
emotion/react@uuid	53
core-js@vue-property-decorator	53
devtron@electron-log	53
react-dom@react-markdown	53
antd@redux	53
electron-updater@i18next	53
core-js@jquery	53
file-loader@html-webpack-plugin	53
register-service-worker@vue	53
cheerio@request	53
electron-log@electron-window-state	53
emotion/react@framer-motion	53
css-loader@url-loader	53
electron-log@node-fetch	53
electron-toolkit/preload@electron-updater	53
electron-updater@react-icons	53
material-ui/core@electron-is-dev	53
react@sass	53
cors@react	53
dayjs@electron-store	53
emotion/styled@framer-motion	53
cors@react-dom	53
quasar/extras@quasar	53
react-dom@sass	53
react-router-dom@redux-logger	53
material-ui/icons@react-redux	53
babel-core@babel-preset-react	53
types/react-router-dom@react-dom	52
dotenv@electron-log	52
express@uuid	52
electron-window-state@lodash	52
highlight.js@vue-router	52
mui/material@electron-log	52
electron-log@react-icons	52
moment@styled-components	52
concurrently@electron-is-dev	52
electron@rxjs	52
css-loader@sass-loader	52
electron/remote@electron-store	52
element-plus@vue	52
angular/material@core-js	52
react-router-dom@react-select	52
styled-components@uuid	52
prop-types@styled-components	52
html-webpack-plugin@terser-webpack-plugin	52
electron@webpack	52
html-webpack-plugin@typescript	52
dayjs@react-router-dom	51
electron-settings@electron-updater	51
style-loader@url-loader	51
electron-json-storage@react	51
redux@redux-saga	51
bootstrap@react-redux	51
bootstrap-vue@vue	51
core-js@electron	51
electron-json-storage@react-dom	51
nedb@react-dom	51
nedb@react	51
antd@electron-updater	51
babel/core@babel-loader	51
react-beautiful-dnd@react-dom	51
react@react-beautiful-dnd	51
moment@sqlite3	51
nedb@vue-router	51
file-loader@webpack-dev-server	51
sass-loader@webpack	51
axios@socket.io-client	51
fortawesome/fontawesome-svg-core@axios	51
sass-loader@style-loader	50
connected-react-router@source-map-support	50
body-parser@react-dom	50
emotion/react@react-scripts	50
react-hook-form@react-router-dom	50
headlessui/react@react	50
emotion/styled@react-scripts	50
electron-squirrel-startup@fs-extra	50
headlessui/react@react-dom	50
electron-is-dev@redux-thunk	50
babel-polyfill@react	50
body-parser@react	50
angular/cdk@core-js	50
material-ui@redux	50
react-icons@react-redux	50
babel-core@webpack	50
jquery@rxjs	50
lodash@react-scripts	50
bootstrap@vuex	50
react-dropzone@react-router-dom	50
react-router@react-scripts	50
types/jest@electron-is-dev	50
reduxjs/toolkit@electron-debug	50
axios@react-icons	50
testing-library/react@react-redux	50
babel-loader@url-loader	50
postcss@tailwindcss	50
react-router-dom@react-toastify	50
fortawesome/fontawesome-free@jquery	49
testing-library/user-event@react-redux	49
node-sass@react-scripts	49
types/react-dom@web-vitals	49
auto-launch@react	49
emotion/styled@electron-store	49
electron-store@i18next	49
react@react-tooltip	49
electron@express	49
postcss-loader@react-dom	49
cheerio@react-dom	49
electron@typescript	49
axios@date-fns	49
fortawesome/fontawesome-svg-core@fortawesome/vue-fontawesome	49
dotenv@react-redux	49
emotion/react@electron-store	49
postcss-loader@react	49
request@vue-router	49
reduxjs/toolkit@axios	49
fortawesome/react-fontawesome@react-router-dom	49
fortawesome/free-solid-svg-icons@axios	49
